Gene 	Pathway 
RPL17	mito_cyto_rp
RPL18	mito_cyto_rp
RPL18A	mito_cyto_rp
RPL19	mito_cyto_rp
RPL21	mito_cyto_rp
RPL22	mito_cyto_rp
RPL23	mito_cyto_rp
RPL23A	mito_cyto_rp
RPL24	mito_cyto_rp
RPL26	mito_cyto_rp
RPL27	mito_cyto_rp
RPL27A	mito_cyto_rp
RPL28	mito_cyto_rp
RPL29	mito_cyto_rp
RPL3	mito_cyto_rp
RPL30	mito_cyto_rp
RPL31	mito_cyto_rp
RPL32	mito_cyto_rp
RPL34	mito_cyto_rp
RPL35	mito_cyto_rp
RPL35A	mito_cyto_rp
RPL36	mito_cyto_rp
RPL36A	mito_cyto_rp
RPL37	mito_cyto_rp
RPL37A	mito_cyto_rp
RPL38	mito_cyto_rp
RPL39	mito_cyto_rp
RPL4	mito_cyto_rp
UBA52	mito_cyto_rp
RPL41	mito_cyto_rp
RPL5	mito_cyto_rp
RPL6	mito_cyto_rp
RPL7	mito_cyto_rp
RPL7A	mito_cyto_rp
RPL8	mito_cyto_rp
RPL9	mito_cyto_rp
RPLP0	mito_cyto_rp
RPLP1	mito_cyto_rp
RPLP2	mito_cyto_rp
RPS10	mito_cyto_rp
RPS11	mito_cyto_rp
RPS12	mito_cyto_rp
RPS13	mito_cyto_rp
RPS14	mito_cyto_rp
RPS15	mito_cyto_rp
RPS15A	mito_cyto_rp
RPS16	mito_cyto_rp
RPS17	mito_cyto_rp
RPS18	mito_cyto_rp
RPS19	mito_cyto_rp
RPS2	mito_cyto_rp
RPS20	mito_cyto_rp
RPS21	mito_cyto_rp
RPS23	mito_cyto_rp
RPS24	mito_cyto_rp
RPS25	mito_cyto_rp
RPS26	mito_cyto_rp
RPS27	mito_cyto_rp
RPS27A	mito_cyto_rp
RPS28	mito_cyto_rp
RPS29	mito_cyto_rp
RPS3	mito_cyto_rp
FAU	mito_cyto_rp
RPS3A	mito_cyto_rp
RPS4X	mito_cyto_rp
RPS4Y1	mito_cyto_rp
RPS5	mito_cyto_rp
RPS6	mito_cyto_rp
RPS7	mito_cyto_rp
RPS8	mito_cyto_rp
RPS9	mito_cyto_rp
RPSA	mito_cyto_rp
MRPL1	mrp
MRPL2	mrp
MRPL3	mrp
MRPL4	mrp
MRPL9	mrp
MRPL10	mrp
MRPL11	mrp
MRPL12	mrp
MRPL13	mrp
MRPL14	mrp
MRPL15	mrp
MRPL16	mrp
MRPL17	mrp
MRPL18	mrp
MRPL19	mrp
MRPL20	mrp
MRPL21	mrp
MRPL22	mrp
MRPL23	mrp
MRPL24	mrp
MRPL27	mrp
MRPL28	mrp
MRPL30	mrp
MRPL32	mrp
MRPL33	mrp
MRPL34	mrp
MRPL35	mrp
MRPL36	mrp
MRPL37	mrp
MRPL38	mrp
MRPL39	mrp
MRPL40	mrp
MRPL41	mrp
MRPL42	mrp
MRPL43	mrp
MRPL44	mrp
MRPL45	mrp
MRPL46	mrp
MRPL47	mrp
MRPL48	mrp
MRPL49	mrp
MRPL50	mrp
MRPL51	mrp
MRPL52	mrp
MRPL53	mrp
MRPL54	mrp
MRPL55	mrp
MRPL57	mrp
MRPS2	mrp
MRPS5	mrp
MRPS6	mrp
MRPS7	mrp
MRPS9	mrp
MRPS10	mrp
MRPS11	mrp
MRPS12	mrp
MRPS14	mrp
MRPS15	mrp
MRPS16	mrp
MRPS17	mrp
MRPS18A	mrp
MRPS18B	mrp
MRPS18C	mrp
MRPS21	mrp
MRPS22	mrp
MRPS23	mrp
MRPS24	mrp
MRPS25	mrp
MRPS26	mrp
MRPS27	mrp
MRPS28	mrp
DAP3	mrp
MRPS30	mrp
MRPS31	mrp
MRPS33	mrp
MRPS34	mrp
MRPS35	mrp
MRPS36	mrp
MYC	myc
MXI1	myc
MYCL	myc
MYCN	myc
MAX	myc
MXD1	myc
MXD3	myc
MXD4	myc
MLX	myc
MLXIPL	myc
MLXIP	myc
MNT	myc
MGA	myc
ARRDC1	notch
CNTN6	notch
CREBBP	notch
EP300	notch
HES1	notch
HES2	notch
HES3	notch
HES4	notch
HES5	notch
HEY1	notch
HEY2	notch
HEYL	notch
KAT2B	notch
KDM5A	notch
NOTCH1	notch
NOTCH2	notch
NOTCH3	notch
NOTCH4	notch
CCN3	notch
PSEN2	notch
SPEN	notch
FBXW7	notch
THBS2	notch
CUL1	notch
NCOR1	notch
NCOR2	notch
HDAC1	notch
JAG2	notch
MAML3	notch
DNER	notch
H6PD	pent_phos
PGLS	pent_phos
G6PD	pent_phos
RPIA	pent_phos
PGD	pent_phos
RPE	pent_phos
RPEL1	pent_phos
TALDO1	pent_phos
TKT	pent_phos
TKTL1	pent_phos
TKTL2	pent_phos
MTOR	pi3k
RICTOR	pi3k
RPTOR	pi3k
RHEB	pi3k
TSC2	pi3k
TSC1	pi3k
PPP2R1A	pi3k
AKT3	pi3k
AKT2	pi3k
AKT1	pi3k
STK11	pi3k
INPP4B	pi3k
PIK3R3	pi3k
PIK3R2	pi3k
PIK3R1	pi3k
PTEN	pi3k
PIK3CB	pi3k
PIK3CA	pi3k
PPAT	purine 
GART	purine 
PFAS	purine 
PAICS	purine 
ADSL	purine 
ATIC	purine 
ADSSL1	purine 
ADSS	purine 
AK1	purine 
AK2	purine 
AK3	purine 
AK4	purine 
AK5	purine 
AK7	purine 
RRM1	purine 
RRM2	purine 
GMPS	purine 
GUK1	purine 
NME1	purine 
NME2	purine 
NME3	purine 
NME4	purine 
NME5	purine 
NME6	purine 
NME7	purine 
CAD	pyrimidine 
DHODH	pyrimidine 
UMPS	pyrimidine 
CMPK1	pyrimidine 
CMPK2	pyrimidine 
NME1	pyrimidine 
NME2	pyrimidine 
NME3	pyrimidine 
NME4	pyrimidine 
NME5	pyrimidine 
NME6	pyrimidine 
NME7	pyrimidine 
CTPS1	pyrimidine 
CTPS2	pyrimidine 
RRM1	pyrimidine 
RRM2	pyrimidine 
DUT	pyrimidine 
ENPP3	pyrimidine 
ENPP1	pyrimidine 
ITPA	pyrimidine 
TYMS	pyrimidine 
DTYMK	pyrimidine 
NTPCR	pyrimidine 
RPL10	rp
RPL10A	rp
RPL11	rp
RPL12	rp
RPL13	rp
RPL13A	rp
RPL14	rp
RPL15	rp
RPL17	rp
RPL18	rp
RPL18A	rp
RPL19	rp
RPL21	rp
RPL22	rp
RPL23	rp
RPL23A	rp
RPL24	rp
RPL26	rp
RPL27	rp
RPL27A	rp
RPL28	rp
RPL29	rp
RPL3	rp
RPL30	rp
RPL31	rp
RPL32	rp
RPL34	rp
RPL35	rp
RPL35A	rp
RPL36	rp
RPL36A	rp
RPL37	rp
RPL37A	rp
RPL38	rp
RPL39	rp
RPL4	rp
UBA52	rp
RPL41	rp
RPL5	rp
RPL6	rp
RPL7	rp
RPL7A	rp
RPL8	rp
RPL9	rp
RPLP0	rp
RPLP1	rp
RPLP2	rp
RPS10	rp
RPS11	rp
RPS12	rp
RPS13	rp
RPS14	rp
RPS15	rp
RPS15A	rp
RPS16	rp
RPS17	rp
RPS18	rp
RPS19	rp
RPS2	rp
RPS20	rp
RPS21	rp
RPS23	rp
RPS24	rp
RPS25	rp
RPS26	rp
RPS27	rp
RPS27A	rp
RPS28	rp
RPS29	rp
RPS3	rp
FAU	rp
RPS3A	rp
RPS4X	rp
RPS4Y1	rp
RPS5	rp
RPS6	rp
RPS7	rp
RPS8	rp
RPS9	rp
RPSA	rp
OGDH	tca
OGDHL	tca
CS	tca
ACO1	tca
ACO2	tca
IDH1	tca
IDH2	tca
IDH3A	tca
IDH3B	tca
IDH3G	tca
SUCLA2	tca
SUCLG1	tca
SUCLG2	tca
SDHA	tca
SDHB	tca
SDHC	tca
SDHD	tca
FH	tca
MDH1	tca
MDH1B	tca
MDH2	tca
ADORA2A	tcell_checkpoint
BTLA	tcell_checkpoint
CD27	tcell_checkpoint
CD274	tcell_checkpoint
CD276	tcell_checkpoint
CD28	tcell_checkpoint
CD3D	tcell_checkpoint
CD3E	tcell_checkpoint
CD3G	tcell_checkpoint
CD4	tcell_checkpoint
CD44	tcell_checkpoint
CD69	tcell_checkpoint
CD70	tcell_checkpoint
CD80	tcell_checkpoint
CD86	tcell_checkpoint
CD8A	tcell_checkpoint
CTLA4	tcell_checkpoint
CYBB	tcell_checkpoint
FUT4	tcell_checkpoint
GEM	tcell_checkpoint
GZMB	tcell_checkpoint
HAVCR2	tcell_checkpoint
ICOS	tcell_checkpoint
ICOSLG	tcell_checkpoint
IDO1	tcell_checkpoint
IL2RA	tcell_checkpoint
LAG3	tcell_checkpoint
LAMP1	tcell_checkpoint
LGALS9	tcell_checkpoint
PDCD1	tcell_checkpoint
PRF1	tcell_checkpoint
TNFRSF14	tcell_checkpoint
TNFRSF4	tcell_checkpoint
TNFRSF9	tcell_checkpoint
TNFSF4	tcell_checkpoint
TNFSF9	tcell_checkpoint
VTCN1	tcell_checkpoint
PDCD1LG2	tcell_checkpoint
CD40	tcell_checkpoint
CD40LG	tcell_checkpoint
TNFRSF18	tcell_checkpoint
TNFSF18	tcell_checkpoint
TIGIT	tcell_checkpoint
PVR	tcell_checkpoint
CD244	tcell_checkpoint
TNFSF14	tcell_checkpoint
CD160	tcell_checkpoint
NT5E	tcell_checkpoint
ENTPD1	tcell_checkpoint
KLRG1	tcell_checkpoint
TGFBR1	tgfb
TGFBR2	tgfb
ACVR2A	tgfb
ACVR1B	tgfb
SMAD2	tgfb
SMAD3	tgfb
SMAD4	tgfb
CHEK2	tp53
ATM	tp53
TP53	tp53
RPS6KA3	tp53
MDM4	tp53
MDM2	tp53
ZNRF3	wnt
WIF1	wnt
TLE4	wnt
TLE3	wnt
TLE2	wnt
TLE1	wnt
TCF7L2	wnt
TCF7L1	wnt
TCF7	wnt
SFRP5	wnt
SFRP4	wnt
SFRP2	wnt
SFRP1	wnt
RNF43	wnt
LRP5	wnt
GSK3B	wnt
DKK4	wnt
DKK3	wnt
DKK2	wnt
DKK1	wnt
CTNNB1	wnt
AXIN2	wnt
AXIN1	wnt
APC	wnt
AMER1	wnt
